# loss loss_val
2.2279 2.3294
2.2730 2.2248
2.1776 2.2776
2.3154 2.2692
2.1927 2.2935
2.2871 2.2718
2.2738 2.2514
2.2902 2.3378
2.2549 2.3247
2.2810 2.1739
2.2008 2.2547
2.2953 2.2585
2.2689 2.2734
2.1524 2.2378
2.3864 2.2317
2.2730 2.2411
2.2302 2.2709
2.2277 2.3493
2.2989 2.3001
2.2374 2.3258
2.2234 2.2618
2.2617 2.1831
2.2928 2.1955
2.1663 2.2636
2.3381 2.2603
2.2353 2.3219
2.2765 2.2553
2.2673 2.2862
2.2796 2.2834
2.3223 2.2698
2.3079 2.2478
2.2956 2.2203
2.1914 2.2362
2.1913 2.3347
2.2489 2.2866
2.1835 2.2740
2.2588 2.3330
2.3110 2.1679
2.2198 2.3090
2.2570 2.2340
2.2088 2.2767
2.2523 2.2459
2.2269 2.2218
2.2549 2.2902
2.1959 2.2188
2.2086 2.2937
2.1940 2.2717
2.1997 2.3001
2.2424 2.2641
2.3565 2.2856
2.3043 2.1794
2.3288 2.2388
2.2792 2.2486
2.1469 2.2788
2.2367 2.2902
2.2384 2.1926
2.1956 2.2794
2.2285 2.2168
2.2412 2.1904
2.1888 2.2163
2.2823 2.2468
2.2401 2.2059
2.2502 2.2818
2.2654 2.3563
2.2090 2.2091
2.1998 2.2700
2.2007 2.2972
2.2596 2.2428
2.2550 2.2427
2.2138 2.2012
2.2483 2.2231
2.1989 2.2646
2.2546 2.2287
2.1983 2.2635
2.2129 2.1453
2.2143 2.1807
2.2079 2.1864
2.1605 2.2292
2.3133 2.2549
2.2821 2.1316
2.2402 2.2601
2.2183 2.2705
2.2313 2.2336
2.3420 2.1763
2.2488 2.2264
2.1634 2.2212
2.1905 2.2734
2.2266 2.1907
2.1945 2.2871
2.2261 2.1249
2.1728 2.2969
2.1604 2.2487
2.2190 2.1627
2.2394 2.1616
2.1939 2.1367
2.1957 2.2723
2.2199 2.1190
2.2116 2.2434
2.2769 2.2548
2.2646 2.1674
2.2724 2.2065
2.2149 2.3295
2.2473 2.2165
2.2316 2.2112
2.2002 2.2537
2.2280 2.2080
2.1606 2.2309
2.1338 2.2154
2.1937 2.2723
2.2443 2.1567
2.2414 2.1848
2.2601 2.1051
2.1858 2.2685
2.1890 2.1820
2.2204 2.1929
2.2290 2.2377
2.2489 2.2874
2.2322 2.2385
2.2164 2.2338
2.3070 2.2484
2.2765 2.2131
2.2596 2.1783
2.2703 2.2037
2.2321 2.3016
2.2076 2.2784
2.2491 2.2609
2.2003 2.3073
2.2002 2.2761
2.2399 2.2816
2.2243 2.2149
2.2440 2.2492
2.1654 2.2387
2.2495 2.2827
2.2770 2.3034
2.2316 2.2254
2.2151 2.2169
2.1814 2.2708
2.1577 2.2619
2.1796 2.1878
2.2100 2.1483
2.2844 2.2008
2.2525 2.2942
2.1865 2.2176
2.2583 2.1468
2.2025 2.1230
2.2483 2.2944
2.2186 2.2173
2.2338 2.2385
2.2558 2.2132
2.1930 2.2680
2.2017 2.2980
2.2672 2.2465
2.2397 2.2261
2.2300 2.2651
2.1939 2.2279
2.2406 2.2941
2.2635 2.2263
2.2212 2.2511
2.2781 2.1828
2.2509 2.2681
2.3180 2.2961
2.2112 2.2333
2.2564 2.2228
2.3160 2.2381
2.2296 2.2700
2.2561 2.2669
2.2623 2.2261
2.2254 2.2105
2.1856 2.2592
2.2245 2.3023
2.2166 2.2531
2.1647 2.2474
2.3119 2.2473
2.2094 2.2153
2.2110 2.2566
2.2469 2.2977
2.2279 2.2021
2.2344 2.2992
2.1803 2.1898
2.2998 2.2921
2.2915 2.1510
2.2486 2.1402
2.2467 2.2556
2.2858 2.2363
2.2265 2.2136
2.2706 2.1581
2.1964 2.2767
2.2481 2.2392
2.3176 2.2804
2.2237 2.1898
2.2027 2.2089
2.2335 2.2404
2.2737 2.1795
2.2175 2.2282
2.2215 2.2872
2.1319 2.2372
2.2877 2.2425
2.2264 2.3176
2.1724 2.2187
2.2094 2.2514
2.1706 2.2228
2.2397 2.2205
2.1537 2.2435
2.2635 2.1074
2.1906 2.1731
2.2205 2.1760
2.1828 2.2817
2.2717 2.2319
2.1794 2.2844
2.2152 2.2147
2.1758 2.2689
2.1680 2.1729
2.2451 2.2318
2.1869 2.2003
2.2175 2.2364
2.1959 2.2723
2.2574 2.1599
2.1403 2.1617
2.2749 2.2409
2.1441 2.1541
2.2763 2.2369
2.1439 2.3063
2.1690 2.2319
2.2076 2.2444
2.2354 2.1830
2.2156 2.2507
2.2082 2.2764
2.3086 2.2493
2.1642 2.2156
2.2557 2.1695
2.2187 2.1950
2.2740 2.2453
2.2849 2.2139
2.2306 2.2214
2.2660 2.1843
2.2467 2.2132
2.2487 2.2561
2.1913 2.3097
2.3127 2.1583
2.3192 2.2985
2.3118 2.1640
2.2163 2.2568
2.2510 2.2431
2.2173 2.1827
2.2444 2.3449
2.2573 2.2062
2.3102 2.2515
2.2315 2.2228
2.2386 2.2264
2.2321 2.2529
2.2356 2.2438
2.2374 2.3018
2.3155 2.2451
2.1801 2.3038
2.2581 2.2634
2.1762 2.2948
2.2570 2.1841
2.2509 2.2935
2.1845 2.2122
2.3099 2.2148
2.2710 2.2561
2.1613 2.1911
2.1613 2.2985
2.2639 2.1517
2.2517 2.2440
2.1434 2.2293
2.1334 2.2773
2.2392 2.1383
2.1853 2.1000
2.2160 2.2332
2.1624 2.1731
2.2693 2.3071
2.2311 2.1772
2.2092 2.2174
2.2109 2.2205
2.1871 2.2675
2.1061 2.2089
2.2180 2.1803
2.1804 2.2234
2.1885 2.2230
2.1754 2.2327
