# loss loss_val
6.3677 6.3402
6.3540 6.3466
6.3955 6.4254
6.3233 6.3758
6.4620 6.3473
6.3487 6.4041
6.4426 6.3527
6.3949 6.3266
6.4030 6.3676
6.3528 6.3342
6.3729 6.3657
6.4210 6.3356
6.3978 6.4043
6.4159 6.3661
6.2971 6.3395
6.3962 6.4002
6.3482 6.4171
6.3535 6.4077
6.3432 6.3258
6.3681 6.3623
6.3997 6.3834
6.3336 6.3426
6.3462 6.4340
6.4074 6.3432
6.3796 6.3795
6.4019 6.3582
6.3965 6.3595
6.3193 6.3760
6.3207 6.3776
6.3626 6.4141
6.3649 6.3174
6.2994 6.3534
6.3970 6.3790
6.3977 6.3197
6.3540 6.4241
6.3485 6.3595
6.3564 6.3610
6.3759 6.2953
6.3909 6.3798
6.3507 6.2825
6.4185 6.3520
6.3637 6.4279
6.3300 6.3617
6.4304 6.3906
6.3162 6.3852
6.3787 6.3650
6.3103 6.3960
6.3825 6.3950
6.3640 6.3331
6.3470 6.3767
6.3452 6.4110
6.3085 6.3828
6.3827 6.4484
6.3434 6.3789
6.3461 6.4178
6.2988 6.3100
6.3764 6.3267
6.3291 6.3932
6.4221 6.3842
6.3517 6.3632
6.2358 6.3185
6.3713 6.3437
6.2894 6.3768
6.3202 6.3387
6.4101 6.3672
6.3250 6.3309
6.2799 6.3592
6.3742 6.4013
6.3209 6.3510
6.2977 6.4034
6.3301 6.3408
6.3176 6.3075
6.3322 6.3424
6.3680 6.2898
6.3036 6.3572
6.3219 6.3572
6.3279 6.3441
6.3998 6.4362
6.4415 6.3328
6.2638 6.3580
6.3639 6.3763
6.3540 6.4231
6.3466 6.3688
6.3964 6.3230
6.3374 6.3824
6.3537 6.4205
6.3484 6.3591
6.3039 6.3534
6.3442 6.3647
6.3770 6.3720
6.4160 6.4113
6.3745 6.3575
6.4330 6.3714
6.3461 6.3766
6.3925 6.4027
6.4376 6.3189
6.3339 6.3700
6.3583 6.3648
6.3432 6.3361
6.3387 6.3966
6.3524 6.3436
6.3725 6.3455
6.2965 6.3335
6.3259 6.3841
6.3251 6.3778
6.3218 6.3495
6.4018 6.3997
6.3695 6.3034
6.3522 6.3913
6.3527 6.3732
6.4259 6.3898
6.3359 6.3769
6.3713 6.3731
6.3545 6.3292
6.3367 6.3286
6.3360 6.2791
6.3866 6.3471
6.3284 6.2819
6.4050 6.3606
6.3264 6.3213
6.3687 6.3556
6.2918 6.4525
6.2915 6.3713
6.3392 6.3198
6.3301 6.3634
6.3626 6.3653
6.2991 6.3468
6.3849 6.3723
6.3096 6.3453
6.3620 6.4046
6.4457 6.2940
6.3491 6.2887
6.2956 6.3633
6.3450 6.3574
6.3431 6.4020
6.3180 6.2798
6.3329 6.3816
6.3983 6.4248
6.3633 6.3447
6.3495 6.3183
6.2966 6.2829
6.3568 6.3684
6.3743 6.3628
6.3240 6.3904
6.3480 6.4564
6.2615 6.2792
6.3237 6.3462
6.3046 6.3599
6.4045 6.3248
6.3460 6.3475
6.3500 6.3200
6.3774 6.3927
6.2927 6.3388
6.3527 6.3338
6.3192 6.3216
6.3226 6.3497
6.3453 6.4058
6.3147 6.3668
6.3803 6.4051
6.3290 6.3614
6.3540 6.3644
6.2972 6.3185
6.3186 6.2580
6.2597 6.2776
6.2731 6.4187
6.4225 6.3947
6.3545 6.3845
6.3495 6.3639
6.3387 6.3543
6.3686 6.3095
6.3368 6.3886
6.3105 6.2827
6.3171 6.4569
6.2775 6.3699
6.3555 6.3708
6.3658 6.3188
6.3133 6.2992
6.3189 6.3271
6.3165 6.3837
6.3004 6.2786
6.2856 6.3700
6.3805 6.3138
6.3509 6.3649
6.3201 6.3840
6.2990 6.3805
6.4208 6.3398
6.3384 6.3484
6.3635 6.3056
6.3843 6.3721
6.3101 6.3384
6.2909 6.3343
6.3414 6.3343
6.3113 6.3785
6.3182 6.3560
6.3375 6.3027
6.4056 6.3008
6.3177 6.4241
6.3962 6.3843
6.2817 6.3962
6.3868 6.3614
6.3337 6.3714
6.3069 6.3414
6.3568 6.3993
6.3227 6.3404
6.3875 6.3016
6.3168 6.3563
6.3055 6.3301
6.3638 6.3789
6.3435 6.3707
6.3383 6.3762
6.3594 6.3466
6.3237 6.3284
6.3454 6.3048
6.2859 6.3799
6.3576 6.3561
6.3104 6.3696
6.3868 6.3875
6.3348 6.3013
6.3272 6.3739
6.2813 6.2860
6.3238 6.3368
6.3723 6.3488
6.3492 6.3589
6.3855 6.3107
6.3144 6.3643
6.3209 6.3243
6.3385 6.2912
6.3582 6.3319
6.3649 6.3860
6.3907 6.4273
6.3022 6.3556
6.3061 6.3233
6.4117 6.3165
6.3814 6.3176
6.3882 6.3410
6.3687 6.3277
6.3146 6.3517
6.3047 6.3601
6.3493 6.3551
6.3649 6.3049
6.3122 6.4125
6.3936 6.3042
6.3067 6.3336
6.3471 6.3310
6.3932 6.3487
6.3784 6.3856
6.3308 6.3764
6.4046 6.3130
6.2720 6.3651
6.2390 6.3530
6.3297 6.3508
6.4017 6.3489
6.3322 6.2784
6.2931 6.3727
6.3958 6.3339
6.3521 6.2905
6.3294 6.3323
6.3330 6.2438
6.3835 6.3683
6.3268 6.3094
6.3859 6.3698
6.2992 6.3342
6.3290 6.3554
6.2552 6.3465
6.3612 6.3567
6.3754 6.3717
6.3205 6.3950
6.3821 6.3570
6.2512 6.2528
6.2994 6.3196
6.3876 6.3557
6.3193 6.3044
6.4015 6.3431
6.4133 6.3707
6.2901 6.3406
6.3564 6.3430
6.3427 6.3575
6.3064 6.3002
6.3642 6.3669
6.3423 6.3473
6.3853 6.3723
6.3038 6.3800
6.3169 6.2998
6.3457 6.3628
6.3674 6.3226
6.3607 6.3581
6.3657 6.3491
6.4058 6.3655
6.2645 6.3242
6.4068 6.3454
6.3138 6.3200
6.3352 6.3165
6.3391 6.3470
6.3955 6.4253
6.3209 6.3476
6.3500 6.3488
6.3499 6.2972
6.3395 6.4039
6.3126 6.3718
6.3727 6.3808
6.3119 6.3368
6.3697 6.3802
6.3008 6.3194
6.3516 6.3299
6.3623 6.3254
6.2670 6.2777
6.3462 6.3561
6.3205 6.4049
6.3211 6.3092
6.3523 6.4065
6.2966 6.3496
6.3581 6.3788
6.2743 6.3662
6.3331 6.3377
6.2992 6.3680
6.3278 6.3592
6.2211 6.3766
6.3205 6.3407
6.3259 6.3884
6.2939 6.3394
6.3142 6.2956
6.3067 6.3343
6.3405 6.3548
6.3557 6.2911
6.2898 6.3754
6.3736 6.3495
6.2689 6.3596
6.2551 6.3138
6.3234 6.3105
6.3399 6.3678
6.3080 6.3673
6.3766 6.3077
6.2669 6.3380
6.3719 6.3421
6.3352 6.3333
6.3418 6.2896
6.3766 6.3185
6.4173 6.3004
6.2957 6.3601
6.3288 6.3244
6.3299 6.2706
6.3052 6.3784
6.2989 6.3640
6.4105 6.3564
6.2058 6.2582
6.3964 6.3327
6.2898 6.3475
6.3210 6.3462
6.3230 6.3501
6.3597 6.3810
6.3418 6.3181
6.4058 6.4085
6.2948 6.3581
6.3152 6.3839
6.3043 6.3688
6.2710 6.3215
6.3221 6.3099
6.3020 6.3486
6.3597 6.3606
6.2702 6.3473
6.3855 6.3667
6.4108 6.3465
6.3478 6.3250
6.3117 6.3476
6.3281 6.3724
6.3425 6.3465
6.3673 6.3505
6.3332 6.3745
6.2600 6.3027
6.3369 6.3289
6.4044 6.3354
6.3989 6.3539
6.2623 6.3557
6.3049 6.3058
6.3748 6.3064
6.2821 6.3153
6.3359 6.3145
6.3388 6.4048
6.3534 6.2838
6.3698 6.3627
6.3443 6.3301
6.3274 6.2932
6.3169 6.3383
6.3821 6.3872
6.3491 6.3450
6.2839 6.2956
6.3168 6.2983
6.2955 6.3082
6.3636 6.3113
6.3754 6.3569
6.3465 6.3801
6.3969 6.4068
6.3609 6.3293
6.2711 6.3181
6.2868 6.4373
6.3293 6.3989
6.3760 6.3435
6.3066 6.3310
6.3059 6.3015
6.3376 6.3248
6.3736 6.2953
6.3511 6.3076
6.3142 6.3156
6.3457 6.2769
6.3879 6.3510
6.2902 6.3560
6.3439 6.2922
6.3982 6.3370
6.3793 6.3224
6.2858 6.3366
6.2669 6.2917
6.3557 6.2803
6.2801 6.3168
6.3452 6.3627
6.2993 6.3207
6.3007 6.3614
6.3163 6.3835
6.3131 6.3608
6.3903 6.3004
6.3067 6.3899
6.3376 6.3868
6.3671 6.3790
6.3527 6.4070
6.2971 6.2977
6.2959 6.3700
6.3078 6.3377
6.2924 6.3463
6.3569 6.3530
6.2986 6.3247
6.3450 6.3777
6.3367 6.3447
6.2980 6.3796
6.3184 6.3807
6.2831 6.3237
6.3067 6.3372
6.3399 6.3812
6.3300 6.3280
6.3292 6.3564
6.2949 6.3344
6.3276 6.3771
6.3329 6.3309
6.3243 6.3650
6.3778 6.3908
6.3370 6.3679
6.3574 6.3269
6.2868 6.3390
6.2828 6.2408
6.3232 6.3601
6.3112 6.3163
6.3279 6.3785
6.2395 6.2735
6.3252 6.3214
6.2331 6.3300
6.3023 6.3066
6.3975 6.3492
6.3302 6.3468
6.2519 6.3151
6.3195 6.3210
6.2865 6.3352
6.2482 6.3211
6.3253 6.3732
6.3123 6.2784
6.3437 6.3142
6.3547 6.3354
6.3470 6.4090
6.3007 6.3213
6.3152 6.3873
6.3082 6.3322
6.3158 6.3261
6.2902 6.3696
6.3075 6.2936
6.3426 6.3553
6.2783 6.3814
6.3692 6.2979
6.3356 6.3367
6.2618 6.2811
6.3334 6.3147
6.3421 6.3669
6.3027 6.3207
6.2978 6.3313
6.3491 6.3862
6.3532 6.3017
6.3126 6.3641
6.3296 6.2519
6.3161 6.3252
6.3151 6.3793
6.3028 6.3050
6.4133 6.3345
6.3230 6.3560
6.3460 6.3234
6.3265 6.3118
6.2869 6.2799
6.2605 6.3818
6.3203 6.3535
6.3491 6.3309
6.3285 6.3033
6.2950 6.3060
6.3215 6.3101
6.3450 6.3375
6.3139 6.2790
6.2616 6.3383
6.3430 6.2209
6.3093 6.2646
6.2668 6.3095
6.3371 6.3547
6.3701 6.3432
6.2380 6.3829
6.3911 6.3281
6.3624 6.3029
6.3427 6.3440
6.2981 6.3836
6.2704 6.3420
6.3277 6.3682
6.3550 6.4180
6.2671 6.3522
6.3381 6.2756
6.3504 6.3139
6.2646 6.2738
6.2849 6.3549
6.3540 6.3430
6.4021 6.3295
6.2802 6.3584
6.2829 6.2654
6.3865 6.3058
6.3157 6.3507
6.2379 6.3204
6.3038 6.3384
6.3169 6.3511
6.3095 6.3510
6.3042 6.3357
6.3516 6.3531
6.3128 6.3310
6.3000 6.3088
6.3380 6.3196
6.3528 6.3602
6.3223 6.3306
6.3047 6.3060
6.3775 6.3180
6.3094 6.2958
6.2907 6.2496
6.3172 6.3137
6.2871 6.3092
6.2995 6.2880
6.3414 6.3193
6.2971 6.3105
6.2961 6.3311
6.3681 6.3040
6.2573 6.3623
6.2876 6.3947
6.3157 6.3192
6.2678 6.3558
6.3666 6.2496
6.3268 6.3028
6.3268 6.3466
6.2839 6.3753
6.2535 6.3086
6.3234 6.3566
6.3471 6.3215
6.2807 6.3439
6.3545 6.3956
6.2841 6.3708
6.3633 6.3201
6.3883 6.3562
6.2851 6.3180
6.3367 6.2938
6.3491 6.2930
6.3685 6.3262
6.2983 6.3366
6.3482 6.3510
6.2573 6.3221
6.3027 6.3332
6.2982 6.2711
6.2941 6.2778
6.3361 6.2599
6.3490 6.3969
6.2562 6.3064
6.2855 6.3317
6.3440 6.3571
6.2787 6.2916
6.3085 6.3472
6.2596 6.3128
6.3202 6.3461
6.2635 6.2897
6.3558 6.3279
6.3371 6.2609
6.2973 6.2166
6.3149 6.3548
6.3882 6.3181
6.3013 6.3499
6.3069 6.2643
6.2652 6.3658
6.3104 6.2841
6.2585 6.3495
6.3196 6.3480
6.3087 6.3770
6.2906 6.3002
6.2815 6.3603
6.3351 6.3029
6.3533 6.3221
6.2357 6.2700
6.2988 6.2793
6.2950 6.3377
6.2707 6.3385
6.3381 6.2899
6.2869 6.3422
6.3067 6.3321
6.3458 6.2831
6.2391 6.3160
6.3891 6.2705
6.2865 6.3395
6.2700 6.3016
6.3292 6.3405
6.2985 6.3580
6.3530 6.3172
6.3492 6.3102
6.2499 6.3241
6.2507 6.3467
6.3439 6.2742
6.2679 6.2894
6.2729 6.3039
6.3118 6.3225
6.2942 6.3462
6.3155 6.2989
6.2426 6.3015
6.3003 6.2824
6.2822 6.3349
6.2940 6.3248
6.3027 6.2853
6.2858 6.3009
6.3016 6.3050
6.3114 6.3097
6.2793 6.3463
6.2864 6.3063
6.3030 6.3175
6.3136 6.3573
6.2785 6.3446
6.2884 6.2957
6.2604 6.2996
6.2885 6.2560
6.2665 6.3258
6.3416 6.3200
6.2834 6.3089
6.3040 6.3112
6.2755 6.2999
6.2888 6.2860
6.2955 6.3565
6.1910 6.2519
6.2841 6.3343
6.2854 6.3064
6.3093 6.2767
6.3398 6.3467
6.2440 6.2726
6.2643 6.3142
6.2570 6.3006
6.2782 6.2820
6.3393 6.3298
6.2691 6.2609
6.2703 6.2946
6.3800 6.2500
6.2599 6.2698
6.3380 6.2893
6.2746 6.2434
6.2048 6.3979
6.2700 6.3278
6.2944 6.3233
6.2499 6.2931
6.3476 6.3015
6.3146 6.2624
6.3118 6.2639
6.3010 6.3070
6.2549 6.2817
6.2748 6.3321
6.2825 6.2523
6.2946 6.3117
6.3008 6.2909
6.2474 6.2658
6.2642 6.2735
6.2171 6.3403
6.3006 6.3802
6.3309 6.2635
6.2966 6.3021
6.2805 6.3349
6.2452 6.3029
6.2973 6.3398
6.3125 6.4305
6.2769 6.3174
6.3322 6.3285
6.3034 6.2841
6.2637 6.2564
6.2927 6.3016
6.2692 6.3511
6.2572 6.3091
6.3305 6.3575
6.2836 6.3183
6.2252 6.3136
6.2919 6.2841
6.2659 6.2945
6.2920 6.2659
6.2391 6.3384
6.2405 6.2843
6.2622 6.2558
6.2903 6.2946
6.3119 6.2746
6.2966 6.3751
6.2546 6.3218
6.2753 6.2951
6.2320 6.2842
6.3047 6.2630
6.2692 6.2524
6.2784 6.3109
6.2532 6.3529
6.2780 6.3323
6.2601 6.3012
6.3398 6.2317
6.2664 6.2891
6.2645 6.2417
6.2605 6.2958
6.3170 6.3268
6.2538 6.3021
6.2622 6.2454
6.2809 6.2878
6.3015 6.3144
6.2452 6.2953
6.2792 6.2435
6.2737 6.2347
6.2666 6.2365
6.2612 6.2988
6.3134 6.2584
6.2989 6.3244
6.2592 6.3574
6.2409 6.2909
6.2723 6.3015
6.2688 6.2663
6.2678 6.2667
6.3090 6.2880
6.2388 6.2591
6.2790 6.3870
6.2570 6.3080
6.2245 6.3352
6.2735 6.2746
6.3554 6.2338
6.2600 6.2663
6.2470 6.2985
6.3075 6.2681
6.2269 6.3356
6.3229 6.3078
6.3251 6.2709
6.2530 6.2962
6.2445 6.2361
6.2971 6.2346
6.2942 6.2752
6.2596 6.2676
6.3199 6.2438
6.2065 6.2944
6.2690 6.2365
6.2748 6.3364
6.2895 6.2715
6.3030 6.3105
6.2739 6.2584
6.3051 6.1941
6.3032 6.2156
6.3087 6.2409
6.3475 6.2540
6.2976 6.2584
6.2765 6.2505
6.1545 6.2660
6.2460 6.2898
