# loss loss_val
4.4601 3.2480
3.2940 3.2111
3.1501 3.1379
3.1176 3.1100
3.0070 2.9794
3.0617 2.9800
3.1053 2.8737
3.0225 3.0762
2.8162 2.9089
2.9299 3.0113
3.0451 2.9648
2.9041 2.8248
2.8040 2.9299
2.9130 2.8946
2.7698 2.8272
2.7842 2.9489
2.7796 2.8853
2.8851 2.9146
2.7462 2.7792
2.8477 2.8971
2.8373 2.8017
2.8202 2.8634
2.7575 2.8299
2.8632 2.7769
2.7369 2.8698
2.8104 2.7675
2.7968 2.9521
2.7182 2.7385
2.7264 2.7803
2.8863 2.9162
2.7425 2.7802
2.8612 2.8868
2.7423 2.6651
2.8879 2.7912
2.8606 2.7889
2.8364 2.7714
2.8073 2.7914
2.7208 2.8025
2.7596 2.7578
2.7184 2.8185
2.7762 2.8908
2.8840 2.8467
2.9771 2.8421
2.7480 2.9396
2.9856 2.7797
2.8927 2.9228
2.9681 2.9497
2.8710 2.8968
2.8905 2.8947
2.8567 2.7567
2.7356 2.8467
2.8039 2.7989
2.7896 2.8751
2.8264 2.8059
2.8615 2.8248
2.8300 2.8222
2.8090 2.9445
2.7444 2.8002
2.6967 2.6589
2.6890 2.7931
2.8200 2.8355
2.8588 2.8144
2.6897 2.7680
2.7481 2.7367
2.7599 2.7968
2.6614 2.6627
2.6953 2.8013
2.6913 2.6883
2.7440 2.7339
2.6799 2.7398
2.6275 2.8189
2.8291 2.7715
2.7156 2.7157
2.7923 2.7783
2.6347 2.7770
2.6742 2.7220
2.6676 2.7943
2.7214 2.7423
2.6871 2.7146
2.6636 2.7032
2.7203 2.7174
2.6371 2.6850
2.6757 2.7676
2.5764 2.7520
2.7272 2.6125
2.7935 2.7563
2.7771 2.7425
2.6792 2.6031
2.7412 2.7993
2.7381 2.7762
2.7038 2.7586
2.7179 2.7393
2.6604 2.7171
2.6362 2.6327
2.7302 2.6678
2.7732 2.6837
2.6704 2.7880
2.6574 2.6729
2.7079 2.7311
2.6489 2.7469
2.6965 2.7285
2.6791 2.7176
2.6688 2.6479
2.6942 2.7276
2.6322 2.7435
2.7271 2.7778
2.6153 2.6147
2.6857 2.7757
2.6221 2.6559
2.7705 2.7757
2.6979 2.7290
2.6756 2.6576
2.6266 2.7085
2.7101 2.7517
2.6105 2.6985
2.6075 2.6962
2.6364 2.6560
2.5935 2.6595
2.6920 2.7826
2.7331 2.7671
2.6873 2.7065
2.7214 2.6904
2.5835 2.7994
2.6770 2.7474
2.6765 2.7692
2.5821 2.8083
2.6137 2.6020
2.6848 2.7127
2.7473 2.7456
2.6661 2.7273
2.6716 2.7071
2.5953 2.7187
2.5328 2.6721
2.5655 2.8196
2.6284 2.7420
2.7164 2.6206
2.6903 2.7591
2.7330 2.8660
2.7861 2.6307
2.6112 2.6243
2.6894 2.7016
2.6701 2.7094
2.7218 2.7042
2.5623 2.5814
2.6235 2.5055
2.6382 2.6964
2.6194 2.7170
2.5679 2.6528
2.5244 2.6267
2.5647 2.5857
2.6065 2.5986
2.5409 2.5964
2.6505 2.6017
2.5594 2.6404
2.5081 2.5270
2.4560 2.5815
2.5050 2.5535
2.5703 2.5747
2.5152 2.5364
2.5481 2.5273
2.4982 2.6332
2.6061 2.5542
2.4935 2.6022
2.4442 2.6042
2.4768 2.3917
2.5424 2.4384
2.4875 2.5252
2.4930 2.4223
2.4149 2.4740
2.4704 2.5249
2.4326 2.3325
2.4001 2.5352
2.5481 2.4876
2.5194 2.3022
2.5025 2.5054
2.4016 2.3681
2.5057 2.4108
2.4016 2.5355
2.3851 2.4116
2.5593 2.4498
2.5576 2.4852
2.5376 2.4405
2.4609 2.5970
2.5104 2.5616
2.4159 2.4895
2.5682 2.5361
2.3819 2.4731
2.5783 2.4606
2.4268 2.4168
2.4046 2.5509
2.4473 2.3246
2.5388 2.5848
2.4811 2.4326
2.3911 2.3902
2.3632 2.4022
2.4218 2.4748
2.3910 2.4595
2.5079 2.3982
2.4155 2.4865
2.3953 2.4844
2.3988 2.4039
2.2987 2.3618
2.2688 2.4760
2.2912 2.3557
2.2913 2.3876
2.3971 2.2869
2.4151 2.3822
2.3475 2.3716
2.3858 2.2523
2.3370 2.3233
2.3735 2.5007
2.3693 2.2997
2.3482 2.4337
2.3439 2.2014
2.3501 2.3622
2.3551 2.3546
2.3639 2.2575
2.3878 2.2933
2.3036 2.2697
2.2514 2.4343
2.2485 2.3427
2.3608 2.3265
2.3672 2.4085
2.3615 2.4077
2.2580 2.3786
2.2669 2.3650
2.3662 2.3312
2.2577 2.2907
2.2887 2.4025
2.2980 2.3608
2.3440 2.2620
2.3963 2.3584
2.3411 2.1553
2.2580 2.2064
2.2523 2.3036
2.2842 2.2523
2.1923 2.2682
2.3036 2.3736
2.3473 2.2683
2.2227 2.1453
2.2700 2.3147
2.2843 2.3783
2.3520 2.3611
2.2873 2.3179
2.2608 2.3690
2.1605 2.3038
2.3038 2.2780
2.3064 2.2845
2.2607 2.2483
2.2499 2.2567
2.4653 2.3834
2.2753 2.2713
2.2693 2.3255
2.2655 2.3018
2.2423 2.4423
2.3564 2.3211
2.3508 2.2809
2.2752 2.2878
2.3160 2.2271
2.3037 2.3390
2.2988 2.3576
2.3279 2.2870
2.2824 2.2199
2.2285 2.3302
2.2119 2.2892
2.2931 2.3556
2.2472 2.3981
2.3344 2.3572
2.2605 2.4380
2.3307 2.3332
2.2924 2.3165
2.3050 2.3235
2.2541 2.2937
2.3374 2.1783
2.2954 2.2354
2.3029 2.2665
2.2603 2.3147
2.2306 2.3802
2.3387 2.3691
2.2214 2.3717
2.3274 2.1451
2.2239 2.3277
2.2360 2.3304
2.2315 2.2029
2.3043 2.3500
2.4273 2.2474
2.2232 2.3282
2.2997 2.3985
2.2970 2.3669
2.3037 2.3164
2.1924 2.2880
2.2215 2.2144
2.2862 2.3079
2.2371 2.2752
2.2784 2.3631
2.2622 2.3496
2.1931 2.2545
2.2146 2.2076
2.2534 2.2520
2.2731 2.2601
2.2655 2.3070
2.2457 2.3424
2.2751 2.3824
2.3271 2.2363
2.2950 2.2564
2.2776 2.2732
2.2368 2.2006
2.2605 2.1644
2.2004 2.1823
2.3035 2.2712
2.3005 2.2394
2.3391 2.1431
2.3362 2.2651
2.3440 2.2692
2.2280 2.1687
2.3079 2.2908
2.3145 2.3557
2.3511 2.2962
2.2311 2.1617
2.3307 2.2617
2.2136 2.2691
2.2918 2.1741
2.2608 2.2048
2.2159 2.2376
2.2420 2.2364
2.2692 2.3187
2.2464 2.2852
2.3276 2.1717
2.2675 2.3193
2.2792 2.2717
2.1959 2.3357
2.3756 2.2000
2.2426 2.2845
2.2352 2.2581
2.2923 2.2934
2.2030 2.3281
2.3075 2.3549
2.1543 2.2172
2.3500 2.2653
2.2129 2.3529
2.2899 2.2460
2.2702 2.3134
2.3447 2.2883
2.2965 2.2567
2.2807 2.2778
2.2516 2.2967
2.2326 2.2593
2.3672 2.2940
2.1484 2.3486
2.4085 2.2559
2.3095 2.2251
2.2614 2.2360
2.2626 2.3550
2.2814 2.3724
2.2545 2.2841
2.2370 2.2896
2.2368 2.2264
2.2850 2.2312
2.2349 2.3218
